All,County,Short,District,State
"Pittsylvania County, Virginia",Pittsylvania County,Pittsylvania,County,Virginia
"Powhatan County, Virginia",Powhatan County,Powhatan,County,Virginia
"Prince Edward County, Virginia",Prince Edward County,Prince Edward,County,Virginia
"Prince George County, Virginia",Prince George County,Prince George,County,Virginia
"Prince William County, Virginia",Prince William County,Prince William,County,Virginia
"Pulaski County, Virginia",Pulaski County,Pulaski,County,Virginia
"Rappahannock County, Virginia",Rappahannock County,Rappahannock,County,Virginia
"Richmond County, Virginia",Richmond County,Richmond,County,Virginia
"Roanoke County, Virginia",Roanoke County,Roanoke,County,Virginia
"Rockbridge County, Virginia",Rockbridge County,Rockbridge,County,Virginia
"Rockingham County, Virginia",Rockingham County,Rockingham,County,Virginia
"Russell County, Virginia",Russell County,Russell,County,Virginia
"Scott County, Virginia",Scott County,Scott,County,Virginia
"Shenandoah County, Virginia",Shenandoah County,Shenandoah,County,Virginia
"Smyth County, Virginia",Smyth County,Smyth,County,Virginia
"Southampton County, Virginia",Southampton County,Southampton,County,Virginia
"Spotsylvania County, Virginia",Spotsylvania County,Spotsylvania,County,Virginia
"Stafford County, Virginia",Stafford County,Stafford,County,Virginia
"Surry County, Virginia",Surry County,Surry,County,Virginia
"Sussex County, Virginia",Sussex County,Sussex,County,Virginia
"Tazewell County, Virginia",Tazewell County,Tazewell,County,Virginia
"Warren County, Virginia",Warren County,Warren,County,Virginia
"Washington County, Virginia",Washington County,Washington,County,Virginia
"Westmoreland County, Virginia",Westmoreland County,Westmoreland,County,Virginia
"Wise County, Virginia",Wise County,Wise,County,Virginia
"Wythe County, Virginia",Wythe County,Wythe,County,Virginia
"York County, Virginia",York County,York,County,Virginia
"Alexandria city, Virginia",Alexandria city,Alexandria,city,Virginia
"Bristol city, Virginia",Bristol city,Bristol,city,Virginia
"Buena Vista city, Virginia",Buena Vista city,Buena Vista,city,Virginia
"Charlottesville city, Virginia",Charlottesville city,Charlottesville,city,Virginia
"Chesapeake city, Virginia",Chesapeake city,Chesapeake,city,Virginia
"Colonial Heights city, Virginia",Colonial Heights city,Colonial Heights,city,Virginia
"Covington city, Virginia",Covington city,Covington,city,Virginia
"Danville city, Virginia",Danville city,Danville,city,Virginia
"Emporia city, Virginia",Emporia city,Emporia,city,Virginia
"Fairfax city, Virginia",Fairfax city,Fairfax,city,Virginia
"Falls Church city, Virginia",Falls Church city,Falls Church,city,Virginia
"Franklin city, Virginia",Franklin city,Franklin,city,Virginia
"Fredericksburg city, Virginia",Fredericksburg city,Fredericksburg,city,Virginia
"Galax city, Virginia",Galax city,Galax,city,Virginia
"Hampton city, Virginia",Hampton city,Hampton,city,Virginia
"Harrisonburg city, Virginia",Harrisonburg city,Harrisonburg,city,Virginia
"Hopewell city, Virginia",Hopewell city,Hopewell,city,Virginia
"Lexington city, Virginia",Lexington city,Lexington,city,Virginia
"Lynchburg city, Virginia",Lynchburg city,Lynchburg,city,Virginia
"Manassas city, Virginia",Manassas city,Manassas,city,Virginia
"Manassas Park city, Virginia",Manassas Park city,Manassas Park,city,Virginia
"Martinsville city, Virginia",Martinsville city,Martinsville,city,Virginia
"Newport News city, Virginia",Newport News city,Newport News,city,Virginia
"Norfolk city, Virginia",Norfolk city,Norfolk,city,Virginia
"Norton city, Virginia",Norton city,Norton,city,Virginia
"Petersburg city, Virginia",Petersburg city,Petersburg,city,Virginia
"Poquoson city, Virginia",Poquoson city,Poquoson,city,Virginia
"Portsmouth city, Virginia",Portsmouth city,Portsmouth,city,Virginia
"Radford city, Virginia",Radford city,Radford,city,Virginia
"Richmond city, Virginia",Richmond city,Richmond,city,Virginia
"Roanoke city, Virginia",Roanoke city,Roanoke,city,Virginia
"Salem city, Virginia",Salem city,Salem,city,Virginia
"Staunton city, Virginia",Staunton city,Staunton,city,Virginia
"Suffolk city, Virginia",Suffolk city,Suffolk,city,Virginia
"Virginia Beach city, Virginia",Virginia Beach city,Virginia Beach,city,Virginia
"Waynesboro city, Virginia",Waynesboro city,Waynesboro,city,Virginia
"Williamsburg city, Virginia",Williamsburg city,Williamsburg,city,Virginia
"Winchester city, Virginia",Winchester city,Winchester,city,Virginia
"Adams County, Washington",Adams County,Adams,County,Washington
"Asotin County, Washington",Asotin County,Asotin,County,Washington
"Benton County, Washington",Benton County,Benton,County,Washington
"Chelan County, Washington",Chelan County,Chelan,County,Washington
"Clallam County, Washington",Clallam County,Clallam,County,Washington
"Clark County, Washington",Clark County,Clark,County,Washington
"Columbia County, Washington",Columbia County,Columbia,County,Washington
"Cowlitz County, Washington",Cowlitz County,Cowlitz,County,Washington
"Douglas County, Washington",Douglas County,Douglas,County,Washington
"Ferry County, Washington",Ferry County,Ferry,County,Washington
"Franklin County, Washington",Franklin County,Franklin,County,Washington
"Garfield County, Washington",Garfield County,Garfield,County,Washington
"Grant County, Washington",Grant County,Grant,County,Washington
"Grays Harbor County, Washington",Grays Harbor County,Grays Harbor,County,Washington
"Island County, Washington",Island County,Island,County,Washington
"Jefferson County, Washington",Jefferson County,Jefferson,County,Washington
"King County, Washington",King County,King,County,Washington
"Kitsap County, Washington",Kitsap County,Kitsap,County,Washington
"Kittitas County, Washington",Kittitas County,Kittitas,County,Washington
"Klickitat County, Washington",Klickitat County,Klickitat,County,Washington
"Lewis County, Washington",Lewis County,Lewis,County,Washington
"Lincoln County, Washington",Lincoln County,Lincoln,County,Washington
"Mason County, Washington",Mason County,Mason,County,Washington
"Okanogan County, Washington",Okanogan County,Okanogan,County,Washington
"Pacific County, Washington",Pacific County,Pacific,County,Washington
"Pend Oreille County, Washington",Pend Oreille County,Pend Oreille,County,Washington
"Pierce County, Washington",Pierce County,Pierce,County,Washington
"San Juan County, Washington",San Juan County,San Juan,County,Washington
"Skagit County, Washington",Skagit County,Skagit,County,Washington
"Skamania County, Washington",Skamania County,Skamania,County,Washington
"Snohomish County, Washington",Snohomish County,Snohomish,County,Washington
"Spokane County, Washington",Spokane County,Spokane,County,Washington
"Stevens County, Washington",Stevens County,Stevens,County,Washington
"Thurston County, Washington",Thurston County,Thurston,County,Washington
"Wahkiakum County, Washington",Wahkiakum County,Wahkiakum,County,Washington
"Walla Walla County, Washington",Walla Walla County,Walla Walla,County,Washington
"Whatcom County, Washington",Whatcom County,Whatcom,County,Washington
"Whitman County, Washington",Whitman County,Whitman,County,Washington
"Yakima County, Washington",Yakima County,Yakima,County,Washington
"Barbour County, West Virginia",Barbour County,Barbour,County,West Virginia
"Berkeley County, West Virginia",Berkeley County,Berkeley,County,West Virginia
"Boone County, West Virginia",Boone County,Boone,County,West Virginia
"Braxton County, West Virginia",Braxton County,Braxton,County,West Virginia
"Brooke County, West Virginia",Brooke County,Brooke,County,West Virginia
"Cabell County, West Virginia",Cabell County,Cabell,County,West Virginia
"Calhoun County, West Virginia",Calhoun County,Calhoun,County,West Virginia
"Clay County, West Virginia",Clay County,Clay,County,West Virginia
"Doddridge County, West Virginia",Doddridge County,Doddridge,County,West Virginia
"Fayette County, West Virginia",Fayette County,Fayette,County,West Virginia
"Gilmer County, West Virginia",Gilmer County,Gilmer,County,West Virginia
"Grant County, West Virginia",Grant County,Grant,County,West Virginia
"Greenbrier County, West Virginia",Greenbrier County,Greenbrier,County,West Virginia
"Hampshire County, West Virginia",Hampshire County,Hampshire,County,West Virginia
"Hancock County, West Virginia",Hancock County,Hancock,County,West Virginia
"Hardy County, West Virginia",Hardy County,Hardy,County,West Virginia
"Harrison County, West Virginia",Harrison County,Harrison,County,West Virginia
"Jackson County, West Virginia",Jackson County,Jackson,County,West Virginia
"Jefferson County, West Virginia",Jefferson County,Jefferson,County,West Virginia
"Kanawha County, West Virginia",Kanawha County,Kanawha,County,West Virginia
"Lewis County, West Virginia",Lewis County,Lewis,County,West Virginia
"Lincoln County, West Virginia",Lincoln County,Lincoln,County,West Virginia
"Logan County, West Virginia",Logan County,Logan,County,West Virginia
"McDowell County, West Virginia",McDowell County,McDowell,County,West Virginia
"Marion County, West Virginia",Marion County,Marion,County,West Virginia
"Marshall County, West Virginia",Marshall County,Marshall,County,West Virginia
"Mason County, West Virginia",Mason County,Mason,County,West Virginia
"Mercer County, West Virginia",Mercer County,Mercer,County,West Virginia
"Mineral County, West Virginia",Mineral County,Mineral,County,West Virginia
"Mingo County, West Virginia",Mingo County,Mingo,County,West Virginia
"Monongalia County, West Virginia",Monongalia County,Monongalia,County,West Virginia
"Monroe County, West Virginia",Monroe County,Monroe,County,West Virginia
"Morgan County, West Virginia",Morgan County,Morgan,County,West Virginia
"Nicholas County, West Virginia",Nicholas County,Nicholas,County,West Virginia
"Ohio County, West Virginia",Ohio County,Ohio,County,West Virginia
"Pendleton County, West Virginia",Pendleton County,Pendleton,County,West Virginia
"Pleasants County, West Virginia",Pleasants County,Pleasants,County,West Virginia
"Pocahontas County, West Virginia",Pocahontas County,Pocahontas,County,West Virginia
"Preston County, West Virginia",Preston County,Preston,County,West Virginia
"Putnam County, West Virginia",Putnam County,Putnam,County,West Virginia
"Raleigh County, West Virginia",Raleigh County,Raleigh,County,West Virginia
"Randolph County, West Virginia",Randolph County,Randolph,County,West Virginia
"Ritchie County, West Virginia",Ritchie County,Ritchie,County,West Virginia
"Roane County, West Virginia",Roane County,Roane,County,West Virginia
"Summers County, West Virginia",Summers County,Summers,County,West Virginia
"Taylor County, West Virginia",Taylor County,Taylor,County,West Virginia
"Tucker County, West Virginia",Tucker County,Tucker,County,West Virginia
"Tyler County, West Virginia",Tyler County,Tyler,County,West Virginia
"Upshur County, West Virginia",Upshur County,Upshur,County,West Virginia
"Wayne County, West Virginia",Wayne County,Wayne,County,West Virginia
"Webster County, West Virginia",Webster County,Webster,County,West Virginia
"Wetzel County, West Virginia",Wetzel County,Wetzel,County,West Virginia
"Wirt County, West Virginia",Wirt County,Wirt,County,West Virginia
"Wood County, West Virginia",Wood County,Wood,County,West Virginia
"Wyoming County, West Virginia",Wyoming County,Wyoming,County,West Virginia
"Adams County, Wisconsin",Adams County,Adams,County,Wisconsin
"Ashland County, Wisconsin",Ashland County,Ashland,County,Wisconsin
"Barron County, Wisconsin",Barron County,Barron,County,Wisconsin
"Bayfield County, Wisconsin",Bayfield County,Bayfield,County,Wisconsin
"Brown County, Wisconsin",Brown County,Brown,County,Wisconsin
"Buffalo County, Wisconsin",Buffalo County,Buffalo,County,Wisconsin
"Burnett County, Wisconsin",Burnett County,Burnett,County,Wisconsin
"Calumet County, Wisconsin",Calumet County,Calumet,County,Wisconsin
"Chippewa County, Wisconsin",Chippewa County,Chippewa,County,Wisconsin
"Clark County, Wisconsin",Clark County,Clark,County,Wisconsin
"Columbia County, Wisconsin",Columbia County,Columbia,County,Wisconsin
"Crawford County, Wisconsin",Crawford County,Crawford,County,Wisconsin
"Dane County, Wisconsin",Dane County,Dane,County,Wisconsin
"Dodge County, Wisconsin",Dodge County,Dodge,County,Wisconsin
"Door County, Wisconsin",Door County,Door,County,Wisconsin
"Douglas County, Wisconsin",Douglas County,Douglas,County,Wisconsin
"Dunn County, Wisconsin",Dunn County,Dunn,County,Wisconsin
"Eau Claire County, Wisconsin",Eau Claire County,Eau Claire,County,Wisconsin
"Florence County, Wisconsin",Florence County,Florence,County,Wisconsin
"Fond du Lac County, Wisconsin",Fond du Lac County,Fond du Lac,County,Wisconsin
"Forest County, Wisconsin",Forest County,Forest,County,Wisconsin
"Grant County, Wisconsin",Grant County,Grant,County,Wisconsin
"Green County, Wisconsin",Green County,Green,County,Wisconsin
"Green Lake County, Wisconsin",Green Lake County,Green Lake,County,Wisconsin
"Iowa County, Wisconsin",Iowa County,Iowa,County,Wisconsin
"Iron County, Wisconsin",Iron County,Iron,County,Wisconsin
"Jackson County, Wisconsin",Jackson County,Jackson,County,Wisconsin
"Jefferson County, Wisconsin",Jefferson County,Jefferson,County,Wisconsin
"Juneau County, Wisconsin",Juneau County,Juneau,County,Wisconsin
"Kenosha County, Wisconsin",Kenosha County,Kenosha,County,Wisconsin
"Kewaunee County, Wisconsin",Kewaunee County,Kewaunee,County,Wisconsin
"La Crosse County, Wisconsin",La Crosse County,La Crosse,County,Wisconsin
"Lafayette County, Wisconsin",Lafayette County,Lafayette,County,Wisconsin
"Langlade County, Wisconsin",Langlade County,Langlade,County,Wisconsin
"Lincoln County, Wisconsin",Lincoln County,Lincoln,County,Wisconsin
"Manitowoc County, Wisconsin",Manitowoc County,Manitowoc,County,Wisconsin
"Marathon County, Wisconsin",Marathon County,Marathon,County,Wisconsin
"Marinette County, Wisconsin",Marinette County,Marinette,County,Wisconsin
"Marquette County, Wisconsin",Marquette County,Marquette,County,Wisconsin
"Menominee County, Wisconsin",Menominee County,Menominee,County,Wisconsin
"Milwaukee County, Wisconsin",Milwaukee County,Milwaukee,County,Wisconsin
"Monroe County, Wisconsin",Monroe County,Monroe,County,Wisconsin
"Oconto County, Wisconsin",Oconto County,Oconto,County,Wisconsin
"Oneida County, Wisconsin",Oneida County,Oneida,County,Wisconsin
"Outagamie County, Wisconsin",Outagamie County,Outagamie,County,Wisconsin
"Ozaukee County, Wisconsin",Ozaukee County,Ozaukee,County,Wisconsin
"Pepin County, Wisconsin",Pepin County,Pepin,County,Wisconsin
"Pierce County, Wisconsin",Pierce County,Pierce,County,Wisconsin
"Polk County, Wisconsin",Polk County,Polk,County,Wisconsin
"Portage County, Wisconsin",Portage County,Portage,County,Wisconsin
"Price County, Wisconsin",Price County,Price,County,Wisconsin
"Racine County, Wisconsin",Racine County,Racine,County,Wisconsin
"Richland County, Wisconsin",Richland County,Richland,County,Wisconsin
"Rock County, Wisconsin",Rock County,Rock,County,Wisconsin
"Rusk County, Wisconsin",Rusk County,Rusk,County,Wisconsin
"St. Croix County, Wisconsin",St. Croix County,St. Croix,County,Wisconsin
"Sauk County, Wisconsin",Sauk County,Sauk,County,Wisconsin
